Model,Year,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Years_Relative
M3,2023,Black,Electric,Manual,1.6,53042,59651,9583,High,1
M5,2022,Black,Electric,Manual,4.8,154625,87367,4036,Low,2
5 Series,2024,Silver,Electric,Manual,2.9,73374,67850,5511,Low,0
X6,2022,Grey,Electric,Automatic,3.0,32635,101117,8908,High,2
M3,2024,Silver,Diesel,Automatic,4.7,45786,92952,6205,Low,0
M3,2024,Blue,Diesel,Automatic,2.5,7240,62045,7502,High,0
i3,2024,Red,Hybrid,Manual,3.5,40470,114654,1803,Low,0
3 Series,2022,Grey,Diesel,Automatic,2.5,34245,62584,2736,Low,2
X3,2023,White,Petrol,Manual,2.0,166361,112855,9570,High,1
5 Series,2023,Grey,Hybrid,Manual,2.7,108770,35861,9581,High,1
X5,2022,Blue,Hybrid,Automatic,2.3,68248,77131,2966,Low,2
X3,2023,Silver,Diesel,Automatic,4.2,162043,33260,1655,Low,1
X6,2024,White,Hybrid,Automatic,4.9,70559,96495,4981,Low,0
7 Series,2024,Red,Hybrid,Automatic,4.8,121582,111735,7065,High,0
7 Series,2024,White,Electric,Manual,4.2,154044,53900,2057,Low,0
X1,2022,Silver,Petrol,Manual,3.7,34528,81358,2517,Low,2
X6,2023,Silver,Petrol,Manual,1.6,55529,99125,6043,Low,1
3 Series,2022,Red,Hybrid,Manual,2.1,89684,101154,882,Low,2
i3,2024,Blue,Petrol,Automatic,1.9,185096,94513,1758,Low,0
i8,2024,Red,Hybrid,Automatic,4.9,30067,109076,2244,Low,0
X3,2022,Silver,Electric,Automatic,4.0,166067,40518,949,Low,2
X5,2023,Silver,Diesel,Automatic,2.7,21818,53776,1445,Low,1
i3,2023,Silver,Electric,Automatic,4.4,197104,35496,7308,High,1
X1,2023,White,Diesel,Automatic,2.9,189477,52024,2741,Low,1
X5,2023,White,Petrol,Manual,3.7,13531,92604,2526,Low,1
5 Series,2023,Black,Petrol,Automatic,1.6,28179,73824,9426,High,1
3 Series,2022,Black,Diesel,Manual,2.5,188959,86037,3138,Low,2
5 Series,2022,Silver,Petrol,Automatic,3.5,2247,78078,2228,Low,2
3 Series,2022,Red,Hybrid,Manual,3.6,168717,118637,1700,Low,2
X1,2022,Red,Diesel,Automatic,3.0,89757,118091,7067,High,2
X5,2022,Grey,Electric,Automatic,3.8,140347,89875,4958,Low,2
M5,2023,Silver,Diesel,Automatic,2.8,58625,107603,5559,Low,1
7 Series,2024,Silver,Hybrid,Automatic,3.5,168973,58142,7006,High,0
5 Series,2022,Blue,Petrol,Manual,3.1,189245,59764,2613,Low,2
i3,2024,Blue,Diesel,Manual,4.0,77266,101016,7528,High,0
7 Series,2022,White,Hybrid,Automatic,3.8,64169,61117,3675,Low,2
i3,2024,Blue,Petrol,Automatic,4.2,129913,109980,6640,Low,0
3 Series,2023,Blue,Hybrid,Automatic,2.1,132674,99213,9342,High,1
i8,2024,Red,Petrol,Automatic,4.9,17698,66160,7671,High,0
X6,2022,Black,Electric,Automatic,4.5,127410,50503,7559,High,2
i8,2023,White,Diesel,Manual,3.3,6535,51523,4000,Low,1
M5,2023,White,Petrol,Manual,3.0,23377,114249,8997,High,1
X1,2024,Blue,Electric,Manual,2.6,5148,97739,1361,Low,0
M3,2023,Silver,Electric,Automatic,3.4,83672,80791,7352,High,1
X5,2022,Silver,Diesel,Manual,3.7,32732,53088,8873,High,2
i8,2024,Red,Petrol,Automatic,3.2,112565,100806,4586,Low,0
i8,2022,White,Petrol,Automatic,1.8,14732,57174,4560,Low,2
X1,2023,White,Petrol,Automatic,1.5,137925,59013,4561,Low,1
M5,2022,White,Petrol,Manual,1.6,147936,103644,9313,High,2
5 Series,2024,Red,Hybrid,Automatic,2.8,187862,98864,7597,High,0
X5,2023,Grey,Petrol,Manual,2.9,80621,49549,5469,Low,1
7 Series,2023,Blue,Electric,Automatic,1.7,100996,91382,2012,Low,1
M3,2024,White,Petrol,Automatic,1.5,191530,100690,1207,Low,0
X6,2022,Red,Petrol,Manual,3.9,8872,104575,5798,Low,2
X6,2024,Red,Hybrid,Automatic,2.5,18942,92922,4783,Low,0
3 Series,2022,Black,Diesel,Automatic,4.3,180084,63962,9433,High,2
i3,2022,Grey,Diesel,Manual,4.9,37042,58329,7376,High,2
5 Series,2024,Red,Diesel,Automatic,4.9,141797,62557,7801,High,0
7 Series,2022,Blue,Petrol,Manual,2.8,81595,38725,4443,Low,2
3 Series,2022,Black,Electric,Manual,3.5,24992,76343,4288,Low,2
X6,2024,Blue,Hybrid,Manual,2.7,71812,110035,9324,High,0
i8,2022,Red,Petrol,Automatic,3.4,75354,108533,6345,Low,2
X1,2024,Black,Hybrid,Manual,4.3,80616,50189,9868,High,0
X6,2022,Red,Petrol,Automatic,4.2,135752,41756,6630,Low,2
M5,2023,Blue,Hybrid,Manual,3.3,47259,86672,6752,Low,1
M3,2023,Black,Electric,Manual,4.1,113838,70810,9592,High,1
M5,2023,Red,Diesel,Manual,3.5,113605,58432,4993,Low,1
X1,2023,Black,Electric,Manual,4.1,65245,109034,8995,High,1
X1,2022,Silver,Petrol,Manual,2.6,112048,77630,1695,Low,2
X6,2022,Blue,Diesel,Manual,2.5,71180,77715,3420,Low,2
i3,2024,Black,Petrol,Manual,1.7,134506,38143,3327,Low,0
M3,2023,Silver,Petrol,Automatic,2.9,140290,107042,8018,High,1
M5,2024,Blue,Electric,Automatic,1.8,180700,85369,9023,High,0
3 Series,2023,Blue,Hybrid,Automatic,1.7,12983,52716,6673,Low,1
7 Series,2023,Red,Diesel,Manual,2.0,170354,103607,6770,Low,1
X5,2024,Silver,Hybrid,Manual,4.6,57970,58705,8543,High,0
M5,2022,Silver,Diesel,Automatic,4.9,188013,84096,3710,Low,2
i3,2023,Black,Electric,Automatic,1.7,161918,97065,8328,High,1
X3,2022,Blue,Diesel,Manual,1.9,131050,75852,5035,Low,2
3 Series,2024,Silver,Hybrid,Manual,2.3,196021,74976,6377,Low,0
M5,2022,Silver,Diesel,Manual,2.5,153359,88143,6363,Low,2
M5,2024,White,Petrol,Manual,4.7,92585,41756,7080,High,0
7 Series,2022,Silver,Hybrid,Manual,4.9,65272,109359,869,Low,2
X5,2024,Red,Hybrid,Manual,3.4,61124,51776,7949,High,0
X5,2024,Silver,Diesel,Automatic,2.3,98028,116106,1957,Low,0
X1,2023,Grey,Electric,Automatic,1.7,170699,41330,1407,Low,1
X5,2024,White,Hybrid,Automatic,2.3,152531,119048,382,Low,0
7 Series,2023,Grey,Petrol,Automatic,3.0,83084,99436,7444,High,1
X6,2024,Red,Electric,Automatic,3.7,150014,76270,4255,Low,0
5 Series,2023,Grey,Electric,Automatic,2.6,50105,37719,6239,Low,1
M5,2024,Red,Diesel,Manual,1.7,104813,44925,7824,High,0
3 Series,2023,Blue,Petrol,Manual,4.7,126202,99153,9972,High,1
X3,2023,Black,Electric,Automatic,4.2,106216,52071,3516,Low,1
i8,2024,Black,Petrol,Automatic,3.6,29490,93975,7041,High,0
X1,2024,Grey,Electric,Manual,2.6,85220,62243,7949,High,0
5 Series,2023,Grey,Diesel,Automatic,3.0,131402,114319,3374,Low,1
X6,2023,Silver,Electric,Manual,3.9,79841,58666,9850,High,1
7 Series,2024,Red,Diesel,Manual,3.5,51495,52225,7102,High,0
i8,2022,Silver,Diesel,Automatic,3.9,111097,116375,281,Low,2
X3,2023,Black,Diesel,Automatic,4.9,163446,84310,6383,Low,1
X3,2022,Silver,Electric,Manual,3.9,185419,42646,4587,Low,2
X1,2023,Red,Diesel,Manual,3.1,192788,54701,9248,High,1
X5,2022,Silver,Electric,Automatic,3.5,38531,72432,8076,High,2
X3,2024,White,Diesel,Automatic,2.3,170790,113655,5972,Low,0
7 Series,2024,White,Hybrid,Automatic,2.4,136352,49854,2718,Low,0
X1,2022,Blue,Petrol,Automatic,2.9,187334,110031,5912,Low,2
i3,2023,White,Petrol,Automatic,4.6,172224,44785,6297,Low,1
X3,2023,Black,Hybrid,Manual,2.0,76236,45974,2943,Low,1
3 Series,2023,Blue,Electric,Automatic,4.8,52987,57476,3414,Low,1
X6,2024,Blue,Petrol,Manual,4.0,14102,47737,4322,Low,0
7 Series,2023,Red,Diesel,Manual,3.0,85431,78773,8783,High,1
5 Series,2024,Grey,Hybrid,Automatic,4.3,127975,37804,165,Low,0
X3,2024,Blue,Electric,Manual,3.4,12483,31058,8382,High,0
i8,2022,Red,Electric,Manual,3.8,146759,97359,1849,Low,2
3 Series,2022,Blue,Diesel,Manual,2.6,151767,96847,1452,Low,2
X3,2022,Silver,Electric,Manual,1.8,160731,30948,5931,Low,2
i3,2022,White,Hybrid,Manual,1.5,10263,30996,1843,Low,2
X3,2024,Silver,Hybrid,Automatic,3.7,17018,39177,7960,High,0
3 Series,2022,White,Diesel,Automatic,2.1,146575,91882,129,Low,2
5 Series,2024,Black,Petrol,Automatic,1.8,168639,30155,2166,Low,0
3 Series,2022,Grey,Hybrid,Manual,2.0,60379,90997,7042,High,2
X6,2023,Silver,Electric,Automatic,4.9,195345,56700,8802,High,1
M3,2024,White,Petrol,Automatic,3.5,160103,47011,4684,Low,0
X3,2022,White,Diesel,Automatic,2.9,179637,91213,8494,High,2
X5,2023,Blue,Electric,Manual,3.1,141422,63008,9307,High,1
X1,2022,Blue,Hybrid,Automatic,1.7,65650,84458,7639,High,2
X6,2022,Grey,Diesel,Automatic,4.4,98343,117651,7049,High,2
7 Series,2024,Grey,Hybrid,Automatic,3.0,113961,37465,4782,Low,0
M3,2022,Black,Petrol,Automatic,4.5,134325,34818,4243,Low,2
5 Series,2024,Red,Diesel,Manual,1.6,112745,107937,915,Low,0
M5,2022,Black,Diesel,Automatic,3.2,20713,34558,3971,Low,2
i3,2024,Blue,Electric,Manual,1.8,76745,30203,9165,High,0
X6,2022,Silver,Diesel,Manual,4.6,88452,103930,3276,Low,2
M3,2023,Grey,Diesel,Manual,2.3,185623,39630,2514,Low,1
X1,2024,Blue,Diesel,Automatic,4.0,150575,67895,4181,Low,0
X6,2024,White,Hybrid,Manual,3.7,4650,74244,9074,High,0
M3,2024,Blue,Diesel,Automatic,3.6,36017,90351,1218,Low,0
i8,2022,Grey,Electric,Automatic,4.9,89811,65170,3691,Low,2
5 Series,2023,Black,Diesel,Automatic,4.0,44304,102083,5437,Low,1
i3,2023,Grey,Petrol,Automatic,4.5,99481,34104,4248,Low,1
M3,2023,Grey,Electric,Automatic,3.9,110368,72377,929,Low,1
X3,2024,White,Hybrid,Automatic,4.9,2471,75590,9125,High,0
7 Series,2022,White,Electric,Manual,3.7,58343,97236,5818,Low,2
i3,2023,Silver,Diesel,Manual,3.3,176991,65537,6442,Low,1
X3,2023,Black,Electric,Manual,2.0,36067,30228,9270,High,1
M3,2023,Blue,Petrol,Automatic,2.7,94071,48092,5741,Low,1
7 Series,2022,Silver,Electric,Manual,4.7,86118,66413,1669,Low,2
M5,2023,Silver,Petrol,Automatic,2.4,11295,85115,9866,High,1
i3,2022,Silver,Diesel,Automatic,1.9,166613,99002,1116,Low,2
M5,2023,Black,Petrol,Manual,1.9,159799,62335,961,Low,1
7 Series,2024,Red,Petrol,Automatic,4.9,102029,84994,1134,Low,0
X5,2024,Blue,Petrol,Automatic,3.5,142981,99573,1807,Low,0
i8,2023,Red,Electric,Automatic,2.7,155259,76903,2578,Low,1
X6,2022,Grey,Hybrid,Automatic,2.5,150159,32520,715,Low,2
M5,2024,Black,Diesel,Automatic,4.3,93468,82383,1539,Low,0
X6,2024,Black,Petrol,Manual,3.8,29126,54492,9664,High,0
X6,2024,White,Petrol,Manual,3.0,54523,116484,3178,Low,0
M5,2022,White,Diesel,Manual,1.8,139132,54910,3243,Low,2
X6,2023,Red,Electric,Manual,2.2,199318,67306,1189,Low,1
3 Series,2022,Black,Diesel,Manual,4.0,58517,43454,1218,Low,2
M3,2022,Red,Hybrid,Manual,1.7,91621,117221,8916,High,2
7 Series,2023,Black,Hybrid,Automatic,3.5,186112,97411,411,Low,1
X5,2022,White,Diesel,Automatic,3.5,34086,110520,4371,Low,2
M3,2024,Red,Electric,Manual,4.5,20464,75544,7460,High,0
5 Series,2024,Black,Electric,Automatic,1.6,9754,38725,9911,High,0
7 Series,2024,Blue,Hybrid,Manual,2.4,22228,81464,4519,Low,0
X6,2024,Blue,Electric,Manual,4.8,161848,77083,9799,High,0
5 Series,2023,Blue,Hybrid,Manual,2.2,19910,39986,7733,High,1
X5,2022,Blue,Petrol,Automatic,1.8,169589,74291,4595,Low,2
5 Series,2024,Grey,Hybrid,Automatic,3.6,159170,33604,3065,Low,0
i3,2024,Blue,Petrol,Manual,4.8,193525,117362,8056,High,0
i3,2023,White,Hybrid,Automatic,2.4,54699,68133,6598,Low,1
i8,2024,Black,Electric,Manual,4.4,198063,116670,7678,High,0
X1,2022,Black,Petrol,Automatic,2.4,59702,67109,6497,Low,2
X6,2023,Black,Electric,Automatic,1.6,21438,91106,8537,High,1
3 Series,2024,Silver,Petrol,Automatic,3.9,98016,41983,9837,High,0
X1,2023,Grey,Petrol,Automatic,2.5,142412,107215,3593,Low,1
X6,2023,Blue,Diesel,Manual,3.2,175132,93143,7502,High,1
X5,2024,Red,Petrol,Automatic,3.7,153267,64978,428,Low,0
X5,2022,Black,Diesel,Manual,4.8,3629,74833,6602,Low,2
7 Series,2024,Black,Diesel,Manual,3.3,180849,65050,2225,Low,0
i8,2024,Red,Electric,Manual,2.1,187581,41666,4430,Low,0
X3,2023,Black,Electric,Manual,2.6,186331,92319,7409,High,1
X3,2023,Black,Electric,Automatic,1.7,186871,86372,3531,Low,1
X3,2022,Silver,Petrol,Automatic,4.1,102813,54372,586,Low,2
5 Series,2022,White,Petrol,Automatic,1.6,157014,82718,7512,High,2
X6,2024,Silver,Electric,Manual,1.9,81873,43075,3689,Low,0
M5,2022,White,Hybrid,Manual,1.9,57053,102761,5718,Low,2
X5,2022,Silver,Diesel,Manual,2.8,140684,41355,9058,High,2
M3,2023,Blue,Petrol,Manual,4.1,167781,74557,7993,High,1
M3,2024,Silver,Hybrid,Manual,4.2,152511,110101,6146,Low,0
X1,2024,Blue,Electric,Manual,4.7,142998,118028,3444,Low,0
M5,2023,Silver,Diesel,Manual,2.2,185967,44249,3190,Low,1
X1,2022,Black,Petrol,Manual,4.8,141266,35288,7359,High,2
3 Series,2022,Red,Hybrid,Manual,1.9,69900,35939,5388,Low,2
3 Series,2023,Black,Electric,Manual,3.2,36703,45430,9390,High,1
M3,2024,Silver,Petrol,Manual,2.1,171248,106164,5629,Low,0
X6,2024,Silver,Electric,Automatic,2.9,112387,35604,8058,High,0
i3,2023,White,Diesel,Manual,2.4,177398,33247,1623,Low,1
i8,2024,Grey,Petrol,Automatic,3.5,177266,83689,2928,Low,0
i8,2024,Black,Electric,Manual,4.4,127045,83999,1525,Low,0
i3,2024,Silver,Electric,Automatic,3.8,39356,64469,4950,Low,0
i8,2022,White,Hybrid,Manual,4.5,147908,87308,1271,Low,2
X6,2023,Black,Petrol,Automatic,3.0,173378,61818,2826,Low,1
M3,2023,Blue,Electric,Automatic,1.6,154601,77116,8791,High,1
X6,2022,White,Hybrid,Automatic,4.1,107289,56937,3754,Low,2
M3,2024,Silver,Electric,Automatic,2.3,128641,65928,9993,High,0
i8,2024,Blue,Electric,Manual,3.5,21588,77003,2318,Low,0
5 Series,2023,White,Electric,Automatic,1.9,73113,104038,4144,Low,1
i8,2022,Blue,Hybrid,Manual,4.3,178638,88226,7795,High,2
X5,2022,White,Hybrid,Automatic,2.3,151149,80257,8459,High,2
3 Series,2024,Silver,Electric,Automatic,3.0,61430,39623,4018,Low,0
7 Series,2024,White,Hybrid,Automatic,4.6,28882,115456,7492,High,0
X3,2022,Grey,Electric,Automatic,3.9,60992,109025,2153,Low,2
X5,2022,Silver,Electric,Automatic,2.8,115398,70241,8633,High,2
i8,2022,Blue,Hybrid,Manual,3.9,130711,44017,7228,High,2
i8,2022,White,Diesel,Manual,3.5,116766,83768,5712,Low,2
X3,2024,Grey,Petrol,Automatic,3.4,72564,59627,290,Low,0
7 Series,2023,Red,Hybrid,Manual,3.3,151361,76968,4574,Low,1
M5,2024,Grey,Hybrid,Manual,4.3,177252,36539,5406,Low,0
7 Series,2024,Red,Hybrid,Automatic,2.9,131069,95934,3929,Low,0
X3,2022,Blue,Hybrid,Automatic,2.4,62115,100698,8064,High,2
M3,2024,Grey,Diesel,Automatic,2.3,170465,99929,9276,High,0
i8,2022,White,Diesel,Automatic,1.6,41859,32833,3709,Low,2
X3,2023,Black,Petrol,Manual,1.8,64022,58746,7212,High,1
i8,2022,Silver,Petrol,Automatic,4.4,149094,77111,209,Low,2
i8,2022,Grey,Electric,Manual,4.7,103449,54843,8671,High,2
i8,2023,Black,Diesel,Automatic,2.1,12698,66627,8265,High,1
i8,2023,Grey,Diesel,Manual,3.1,30132,99551,8754,High,1
5 Series,2022,Black,Petrol,Automatic,3.8,48362,86036,4219,Low,2
i3,2024,Grey,Diesel,Automatic,2.2,135056,70320,2088,Low,0
i3,2024,Grey,Electric,Automatic,2.7,134175,46994,126,Low,0
i8,2022,Blue,Diesel,Manual,2.2,184624,64503,9319,High,2
M3,2022,Blue,Hybrid,Manual,2.2,192467,67376,8059,High,2
3 Series,2022,White,Diesel,Automatic,2.6,169602,79324,7992,High,2
3 Series,2022,White,Petrol,Manual,1.6,52008,35513,8324,High,2
X3,2022,White,Hybrid,Automatic,3.7,134094,46320,7007,High,2
7 Series,2023,White,Petrol,Manual,2.0,98650,88609,916,Low,1
X3,2022,Grey,Hybrid,Manual,1.9,160961,65922,4946,Low,2
X5,2022,Silver,Hybrid,Manual,4.2,154042,91359,7966,High,2
3 Series,2024,Blue,Diesel,Manual,1.6,64483,84085,1451,Low,0
X6,2023,White,Electric,Manual,2.2,136782,74454,426,Low,1
M3,2023,Grey,Petrol,Automatic,3.9,69362,49262,5325,Low,1
7 Series,2024,Red,Diesel,Automatic,1.7,44967,44393,7376,High,0
X3,2022,Black,Hybrid,Automatic,4.5,137676,84886,2956,Low,2
M3,2024,Red,Hybrid,Automatic,4.8,11160,55952,3657,Low,0
7 Series,2022,Red,Petrol,Automatic,4.2,187919,69607,6768,Low,2
X5,2023,Red,Electric,Manual,2.5,31438,81496,1459,Low,1
M3,2024,Red,Electric,Automatic,4.2,98016,82395,6127,Low,0
M3,2024,Blue,Petrol,Manual,4.5,116622,78084,5972,Low,0
3 Series,2023,White,Hybrid,Manual,1.9,140260,51104,9092,High,1
i8,2022,Blue,Diesel,Automatic,3.8,15348,72688,4876,Low,2
5 Series,2022,Grey,Electric,Automatic,3.6,90558,65493,247,Low,2
i8,2023,Black,Diesel,Manual,3.1,151361,43533,7807,High,1
X6,2022,White,Electric,Automatic,2.1,128918,92714,9756,High,2
7 Series,2024,Grey,Petrol,Manual,4.1,72928,53414,9429,High,0
X3,2023,Red,Electric,Manual,2.1,127568,63898,9699,High,1
X1,2023,Blue,Electric,Manual,4.1,89948,114148,5967,Low,1
X1,2024,White,Petrol,Automatic,3.0,63757,76005,5959,Low,0
X5,2023,Red,Petrol,Automatic,3.7,102341,91523,5911,Low,1
X5,2022,Silver,Electric,Manual,4.4,164584,105321,581,Low,2
5 Series,2023,White,Diesel,Manual,2.5,7084,65218,2575,Low,1
X6,2023,Black,Diesel,Manual,3.7,172463,56817,9759,High,1
X3,2022,Silver,Hybrid,Automatic,4.8,27137,83785,1387,Low,2
i8,2022,Black,Electric,Manual,2.4,188252,83633,1787,Low,2
i3,2022,Blue,Petrol,Manual,1.9,1751,87207,2278,Low,2
M5,2022,Black,Diesel,Manual,4.8,27686,74833,4198,Low,2
X6,2024,Grey,Petrol,Automatic,1.6,57147,119103,6649,Low,0
5 Series,2024,Grey,Diesel,Manual,3.4,58539,77236,7429,High,0
3 Series,2024,Red,Petrol,Manual,4.1,136718,64837,7091,High,0
5 Series,2024,White,Diesel,Manual,4.8,97362,77462,2262,Low,0
i8,2023,Silver,Electric,Manual,3.4,159683,51710,1350,Low,1
i3,2022,Blue,Hybrid,Automatic,2.0,162969,95557,4564,Low,2
M3,2023,Silver,Electric,Manual,2.8,50235,57428,4275,Low,1
i3,2022,Black,Hybrid,Automatic,3.4,102496,92495,7760,High,2
X6,2023,Red,Hybrid,Manual,3.5,86759,115202,9425,High,1
X5,2024,Red,Diesel,Manual,2.9,25297,112280,9592,High,0
5 Series,2022,Red,Petrol,Automatic,1.9,199938,42128,2045,Low,2
5 Series,2023,Blue,Hybrid,Automatic,2.4,198246,93176,9510,High,1
M3,2023,Silver,Hybrid,Automatic,3.5,117643,34033,8929,High,1
M3,2023,Black,Hybrid,Manual,4.0,146816,66852,9524,High,1
7 Series,2024,Black,Diesel,Manual,5.0,63512,97881,7593,High,0
5 Series,2022,Grey,Electric,Manual,4.4,10814,71689,7583,High,2
i8,2022,Blue,Hybrid,Automatic,2.4,155718,78280,4009,Low,2
i3,2024,Silver,Petrol,Automatic,3.4,113190,50376,4688,Low,0
7 Series,2024,Black,Hybrid,Manual,2.0,115906,59776,6312,Low,0
5 Series,2024,Silver,Electric,Automatic,4.4,63351,81063,3090,Low,0
i8,2022,Black,Diesel,Automatic,4.2,43252,118994,6963,Low,2
5 Series,2023,Silver,Diesel,Manual,3.2,20492,68819,5817,Low,1
M3,2023,Black,Petrol,Manual,4.8,188344,54307,9536,High,1
7 Series,2024,Grey,Hybrid,Automatic,3.4,10606,102147,6125,Low,0
X6,2024,Black,Hybrid,Automatic,4.4,196879,61340,2011,Low,0
X3,2023,Black,Electric,Automatic,1.8,140670,105201,9763,High,1
M5,2023,Blue,Petrol,Manual,4.0,85400,87485,3346,Low,1
X1,2024,Grey,Hybrid,Manual,3.8,42819,111731,2002,Low,0
X3,2023,Grey,Diesel,Manual,2.1,44669,98810,843,Low,1
3 Series,2024,Silver,Petrol,Automatic,3.5,86486,89979,1620,Low,0
5 Series,2022,Blue,Hybrid,Automatic,3.2,155601,46313,3265,Low,2
X6,2022,Blue,Petrol,Manual,3.5,53600,66344,3816,Low,2
X6,2022,Blue,Petrol,Automatic,4.8,26815,101035,5951,Low,2
X3,2022,Silver,Electric,Manual,1.5,51689,119768,1231,Low,2
5 Series,2023,Red,Hybrid,Manual,4.1,165633,95485,4883,Low,1
X1,2024,Black,Diesel,Manual,3.2,163711,77230,6202,Low,0
M3,2022,Red,Petrol,Manual,3.9,140997,36584,2425,Low,2
M5,2024,Red,Diesel,Manual,3.5,64504,74707,246,Low,0
3 Series,2022,White,Petrol,Manual,4.7,143741,116221,8639,High,2
7 Series,2023,Red,Hybrid,Manual,2.4,161819,41865,4551,Low,1
i8,2024,Silver,Hybrid,Automatic,2.9,118801,56783,6131,Low,0
X3,2024,Red,Hybrid,Manual,4.9,125517,116184,2026,Low,0
X1,2022,Black,Hybrid,Manual,2.1,121432,118657,3614,Low,2
5 Series,2022,Red,Petrol,Manual,3.9,59619,31237,1004,Low,2
X6,2024,Grey,Petrol,Automatic,4.6,181320,103580,2318,Low,0
7 Series,2023,Red,Petrol,Manual,5.0,109771,107908,4653,Low,1
i3,2024,Grey,Petrol,Automatic,4.4,17758,89366,5580,Low,0
X3,2022,Silver,Diesel,Automatic,3.8,179812,119155,9126,High,2
X1,2024,Black,Electric,Manual,3.7,17889,117309,8777,High,0
X3,2023,Black,Petrol,Manual,3.7,65083,102788,5191,Low,1
X3,2024,Black,Diesel,Manual,5.0,65525,68970,6475,Low,0
M3,2022,Silver,Diesel,Manual,2.0,12883,91120,3314,Low,2
5 Series,2024,Grey,Hybrid,Automatic,3.0,159774,91490,9178,High,0
X3,2022,Blue,Petrol,Automatic,4.4,104663,114132,5312,Low,2
3 Series,2023,Silver,Diesel,Manual,3.2,64654,90157,5674,Low,1
M3,2022,Black,Diesel,Automatic,4.9,27150,58302,6715,Low,2
M5,2022,Silver,Petrol,Manual,4.7,125877,102017,4935,Low,2
X6,2022,Blue,Hybrid,Automatic,3.9,101577,86847,2335,Low,2
7 Series,2023,Red,Electric,Automatic,3.3,135738,49472,4910,Low,1
M3,2024,Red,Electric,Automatic,2.1,91054,71064,5517,Low,0
M3,2024,Blue,Hybrid,Automatic,2.7,123301,93225,7180,High,0
